comune,Distanza_Solo_Andata,Distanza_AR
SOCCHIEVE,60.0,120.0
SPILIMBERGO,24.2,48.4
STREGNA,53.0,106.0
SUTRIO,71.5,143.0
TALMASSONS,11.8,23.6
TARCENTO,30.7,61.4
TARVISIO,84.3,168.6
TAVAGNACCO,19.7,39.4
TERZO D'AQUILEIA,38.5,77.0
TOLMEZZO,55.5,111.0
TORREANO,36.8,73.6
TORVISCOSA,32.1,64.2
TRASAGHIS,38.9,77.8
TRAVESIO,34.7,69.4
TREPPO GRANDE,25.7,51.4
TREPPO LIULLULLO,81.5,163.0
TRICESIMO,23.7,47.4
TRIESTE,84.4,168.8
TRIVIGNANO UDINESE,26.3,52.6
TURRIACO,43.3,86.6
VARMO,21.5,43.0
VENZONE,45.5,91.0
VERZEGNIS,54.5,109.0
VILLA SANTINA,59.8,119.6
VILLESSE,38.9,77.8
VISCO,29.5,59.0
VITO D'ASIO,34.5,69.0
VIVARO,34.4,68.8
ZOPPOLA,32.8,65.6
ZUGLIO,64.5,129.0
